7/21/2021,36:47.7,19.416,6.204,0.5,7.8
7/21/2021,36:47.8,19.416,6.209,0.51,7.8
7/21/2021,36:47.8,19.416,6.21,0.52,7.8
7/21/2021,36:47.8,19.418,6.21,0.52,7.8
7/21/2021,36:47.9,19.418,6.209,0.55,7.8
7/21/2021,36:47.9,19.418,6.208,0.55,7.8
7/21/2021,36:48.0,19.418,6.207,0.56,7.8
7/21/2021,36:48.0,19.418,6.206,0.58,7.8
7/21/2021,36:48.1,19.418,6.205,0.6,7.8
7/21/2021,36:48.1,19.418,6.206,0.62,7.8
7/21/2021,36:48.1,19.419,6.205,0.62,7.8
7/21/2021,36:48.2,19.419,6.204,0.63,7.8
7/21/2021,36:48.2,19.42,6.204,0.65,7.8
7/21/2021,36:48.2,19.42,6.205,0.64,7.8
7/21/2021,36:48.3,19.42,6.206,0.63,7.8
7/21/2021,36:48.3,19.42,6.205,0.63,7.8
7/21/2021,36:48.4,19.42,6.205,0.63,7.8
7/21/2021,36:48.4,19.421,6.204,0.63,7.8
7/21/2021,36:48.4,19.421,6.205,0.63,7.8
7/21/2021,36:48.5,19.421,6.205,0.64,7.8
7/21/2021,36:48.5,19.421,6.204,0.67,7.8
7/21/2021,36:48.6,19.421,6.204,0.69,7.8
7/21/2021,36:48.6,19.421,6.203,0.69,7.8
7/21/2021,36:48.6,19.42,6.204,0.7,7.8
7/21/2021,36:48.7,19.42,6.205,0.7,7.8
7/21/2021,36:48.7,19.421,6.205,0.74,7.8
7/21/2021,36:48.8,19.42,6.206,0.76,7.8
7/21/2021,36:48.8,19.421,6.207,0.76,7.8
7/21/2021,36:48.8,19.421,6.207,0.76,7.8
7/21/2021,36:48.9,19.421,6.207,0.76,7.8
7/21/2021,36:48.9,19.421,6.207,0.77,7.8
7/21/2021,36:49.0,19.421,6.208,0.77,7.8
7/21/2021,36:49.0,19.421,6.208,0.78,7.8
7/21/2021,36:49.0,19.421,6.208,0.79,7.8
7/21/2021,36:49.1,19.421,6.208,0.78,7.8
7/21/2021,36:49.1,19.421,6.207,0.77,7.8
7/21/2021,36:49.2,19.421,6.207,0.76,7.8
7/21/2021,36:49.2,19.421,6.208,0.76,7.8
7/21/2021,36:49.2,19.421,6.207,0.76,7.8
7/21/2021,36:49.3,19.421,6.208,0.76,7.8
7/21/2021,36:49.3,19.422,6.209,0.75,7.8
7/21/2021,36:49.4,19.421,6.208,0.76,7.8
7/21/2021,36:49.4,19.421,6.209,0.76,7.8
7/21/2021,36:49.4,19.421,6.21,0.76,7.8
7/21/2021,36:49.5,19.421,6.209,0.76,7.8
7/21/2021,36:49.5,19.415,6.209,0.77,7.8
7/21/2021,36:49.5,19.415,6.208,0.78,7.8
7/21/2021,36:49.6,19.408,6.207,0.8,7.8
7/21/2021,36:49.6,19.409,6.207,0.8,7.8
7/21/2021,36:49.7,19.409,6.208,0.79,7.8
7/21/2021,36:49.7,19.415,6.209,0.81,7.8
7/21/2021,36:49.8,19.415,6.209,0.81,7.8
7/21/2021,36:49.8,19.421,6.208,0.82,7.8
7/21/2021,36:49.8,19.421,6.208,0.84,7.8
7/21/2021,36:49.9,19.421,6.208,0.84,7.8
7/21/2021,36:49.9,19.421,6.208,0.85,7.8
7/21/2021,36:50.0,19.421,6.207,0.86,7.8
7/21/2021,36:50.0,19.421,6.207,0.86,7.8
7/21/2021,36:50.0,19.421,6.208,0.86,7.8
7/21/2021,36:50.1,19.421,6.209,0.87,7.8
7/21/2021,36:50.1,19.42,6.209,0.91,7.8
7/21/2021,36:50.1,19.419,6.21,0.94,7.8
7/21/2021,36:50.2,19.42,6.21,0.95,7.8
7/21/2021,36:50.2,19.419,6.21,0.96,7.8
7/21/2021,36:50.3,19.419,6.209,1,7.8
7/21/2021,36:50.3,19.421,6.207,1,7.8
7/21/2021,36:50.4,19.421,6.203,1.02,7.8
7/21/2021,36:50.4,19.421,6.201,1.05,7.8
7/21/2021,36:50.4,19.422,6.201,1.07,7.8
7/21/2021,36:50.5,19.423,6.202,1.07,7.8
7/21/2021,36:50.5,19.423,6.202,1.08,7.8
7/21/2021,36:50.6,19.423,6.201,1.09,7.8
7/21/2021,36:50.6,19.422,6.201,1.1,7.8
7/21/2021,36:50.6,19.422,6.201,1.09,7.8
7/21/2021,36:50.7,19.422,6.201,1.12,7.8
7/21/2021,36:50.7,19.421,6.201,1.13,7.8
7/21/2021,36:50.8,19.421,6.201,1.13,7.8
7/21/2021,36:50.8,19.421,6.202,1.12,7.8
7/21/2021,36:50.8,19.422,6.203,1.11,7.8
7/21/2021,36:50.9,19.422,6.201,1.12,7.8
7/21/2021,36:50.9,19.423,6.203,1.12,7.8
7/21/2021,36:50.9,19.422,6.206,1.12,7.8
7/21/2021,36:51.0,19.422,6.205,1.12,7.8
7/21/2021,36:51.0,19.422,6.204,1.12,7.8
7/21/2021,36:51.1,19.423,6.204,1.12,7.8
7/21/2021,36:51.1,19.422,6.205,1.13,7.8
7/21/2021,36:51.1,19.422,6.204,1.12,7.8
